Package,Class,Method,Parameters,CC
org.apache.commons.collections4,ArrayStack,empty,[],1
org.apache.commons.collections4,ArrayStack,peek,[],2
org.apache.commons.collections4,ArrayStack,peek,[final int n],2
org.apache.commons.collections4,ArrayStack,pop,[],2
org.apache.commons.collections4,ArrayStack,push,[final E item],1
org.apache.commons.collections4,ArrayStack,search,[final Object object],3
org.apache.commons.collections4,ArrayUtils,contains,[final Object[] array, final Object objectToFind],1
org.apache.commons.collections4,ArrayUtils,indexOf,[final Object[] array, final Object objectToFind, int startIndex],8
org.apache.commons.collections4,ArrayUtils,indexOf,[final T[] array, final Object objectToFind],1
org.apache.commons.collections4.bag,AbstractBagDecorator,add,[final E object, final int count],1
org.apache.commons.collections4.bag,AbstractBagDecorator,decorated,[],1
org.apache.commons.collections4.bag,AbstractBagDecorator,equals,[final Object object],1
org.apache.commons.collections4.bag,AbstractBagDecorator,getCount,[final Object object],1
org.apache.commons.collections4.bag,AbstractBagDecorator,hashCode,[],1
org.apache.commons.collections4.bag,AbstractBagDecorator,remove,[final Object object, final int count],1
org.apache.commons.collections4.bag,AbstractBagDecorator,uniqueSet,[],1
org.apache.commons.collections4.bag,BagIterator,hasNext,[],1
org.apache.commons.collections4.bag,BagIterator,next,[],3
org.apache.commons.collections4.bag,BagIterator,remove,[],4
org.apache.commons.collections4.bag,MutableInteger,equals,[final Object obj],2
org.apache.commons.collections4.bag,MutableInteger,hashCode,[],1
org.apache.commons.collections4.bag,AbstractMapBag,add,[final E object],1
org.apache.commons.collections4.bag,AbstractMapBag,add,[final E object, final int nCopies],3
org.apache.commons.collections4.bag,AbstractMapBag,addAll,[final Collection<? extends E> coll],1
org.apache.commons.collections4.bag,AbstractMapBag,clear,[],1
org.apache.commons.collections4.bag,AbstractMapBag,contains,[final Object object],1
org.apache.commons.collections4.bag,AbstractMapBag,containsAll,[final Bag<?> other],2
org.apache.commons.collections4.bag,AbstractMapBag,containsAll,[final Collection<?> coll],2
org.apache.commons.collections4.bag,AbstractMapBag,doReadObject,[final Map<E, MutableInteger> map, final ObjectInputStream in],2
org.apache.commons.collections4.bag,AbstractMapBag,doWriteObject,[final ObjectOutputStream out],1
org.apache.commons.collections4.bag,AbstractMapBag,equals,[final Object object],5
org.apache.commons.collections4.bag,AbstractMapBag,getCount,[final Object object],2
org.apache.commons.collections4.bag,AbstractMapBag,getMap,[],1
org.apache.commons.collections4.bag,AbstractMapBag,hashCode,[],1
org.apache.commons.collections4.bag,AbstractMapBag,isEmpty,[],1
org.apache.commons.collections4.bag,AbstractMapBag,iterator,[],1
